state,district,year_cleaned,crop,production,yield,annual_rainfall
Andhra Pradesh,ANANTAPUR,2001,Arecanut,430.0,1.6731517509727627,1009.3
Andhra Pradesh,ANANTAPUR,2002,Arecanut,379.0,1.44106463878327,703.2
Andhra Pradesh,ANANTAPUR,2003,Arecanut,189.0,0.7105263157894737,1096.8
Andhra Pradesh,EAST GODAVARI,2001,Arecanut,12.0,1.7142857142857142,1009.3
Andhra Pradesh,EAST GODAVARI,2002,Arecanut,10.0,1.4285714285714286,703.2
Andhra Pradesh,EAST GODAVARI,2003,Arecanut,4.0,0.6666666666666666,1096.8
Andhra Pradesh,KRISHNA,2001,Arecanut,7.0,1.75,1009.3
Andhra Pradesh,KRISHNA,2002,Arecanut,26.0,1.4444444444444444,703.2
Andhra Pradesh,KRISHNA,2003,Arecanut,13.0,0.7222222222222222,1096.8
Andhra Pradesh,VIZIANAGARAM,2002,Arecanut,12.0,1.5,703.2
Andhra Pradesh,VIZIANAGARAM,2003,Arecanut,9.0,0.75,1096.8
Andhra Pradesh,WEST GODAVARI,2003,Arecanut,6.0,0.6666666666666666,1096.8
Andhra Pradesh,ADILABAD,2001,Arhar/Tur,18027.0,0.468989021281024,1009.3
Andhra Pradesh,ADILABAD,2001,Arhar/Tur,306.0,0.4693251533742331,1009.3
Andhra Pradesh,ADILABAD,2002,Arhar/Tur,9989.0,0.2450025753599372,703.2
Andhra Pradesh,ADILABAD,2002,Arhar/Tur,232.0,0.2455026455026455,703.2
Andhra Pradesh,ADILABAD,2003,Arhar/Tur,13284.0,0.3460005730211236,1096.8
Andhra Pradesh,ADILABAD,2003,Arhar/Tur,467.0,0.3456698741672835,1096.8
Andhra Pradesh,ANANTAPUR,2001,Arhar/Tur,7628.0,0.272994059122468,1009.3
Andhra Pradesh,ANANTAPUR,2001,Arhar/Tur,1.0,0.2,1009.3
Andhra Pradesh,ANANTAPUR,2002,Arhar/Tur,6557.0,0.1960004782686674,703.2
Andhra Pradesh,ANANTAPUR,2003,Arhar/Tur,6959.0,0.1689980086453931,1096.8
Andhra Pradesh,CHITTOOR,2001,Arhar/Tur,924.0,0.1710161021654636,1009.3
Andhra Pradesh,CHITTOOR,2002,Arhar/Tur,440.0,0.1069778750303914,703.2
Andhra Pradesh,CHITTOOR,2002,Arhar/Tur,2.0,0.1176470588235294,703.2
Andhra Pradesh,CHITTOOR,2003,Arhar/Tur,636.0,0.0750353940537989,1096.8
Andhra Pradesh,CHITTOOR,2003,Arhar/Tur,1.0,0.1,1096.8
Andhra Pradesh,EAST GODAVARI,2001,Arhar/Tur,763.0,0.5828877005347594,1009.3
Andhra Pradesh,EAST GODAVARI,2002,Arhar/Tur,267.0,0.3499344692005242,703.2
Andhra Pradesh,EAST GODAVARI,2003,Arhar/Tur,539.0,0.4230769230769231,1096.8
Andhra Pradesh,GUNTUR,2001,Arhar/Tur,29873.0,0.7620080095911027,1009.3
Andhra Pradesh,GUNTUR,2001,Arhar/Tur,587.0,0.7623376623376623,1009.3
Andhra Pradesh,GUNTUR,2002,Arhar/Tur,19290.0,0.5150042716787697,703.2
Andhra Pradesh,GUNTUR,2002,Arhar/Tur,677.0,0.515220700152207,703.2
Andhra Pradesh,GUNTUR,2003,Arhar/Tur,17758.0,0.5219870664315108,1096.8
Andhra Pradesh,GUNTUR,2003,Arhar/Tur,398.0,0.5223097112860893,1096.8
Andhra Pradesh,KADAPA,2001,Arhar/Tur,7139.0,0.592005970644332,1009.3
Andhra Pradesh,KADAPA,2001,Arhar/Tur,40.0,0.5970149253731343,1009.3
Andhra Pradesh,KADAPA,2002,Arhar/Tur,2605.0,0.162985672276794,703.2
Andhra Pradesh,KADAPA,2002,Arhar/Tur,6.0,0.1666666666666666,703.2
Andhra Pradesh,KADAPA,2003,Arhar/Tur,8997.0,0.3040143272284922,1096.8
Andhra Pradesh,KADAPA,2003,Arhar/Tur,23.0,0.3066666666666666,1096.8
Andhra Pradesh,KARIMNAGAR,2001,Arhar/Tur,2649.0,0.5299059811962392,1009.3
Andhra Pradesh,KARIMNAGAR,2001,Arhar/Tur,363.0,0.5307017543859649,1009.3
Andhra Pradesh,KARIMNAGAR,2002,Arhar/Tur,1629.0,0.24607250755287,703.2
Andhra Pradesh,KARIMNAGAR,2002,Arhar/Tur,126.0,0.24609375,703.2
Andhra Pradesh,KARIMNAGAR,2003,Arhar/Tur,4813.0,0.4239781536293164,1096.8
Andhra Pradesh,KARIMNAGAR,2003,Arhar/Tur,377.0,0.4240719910011248,1096.8
Andhra Pradesh,KHAMMAM,2001,Arhar/Tur,9980.0,0.4750118990956687,1009.3
Andhra Pradesh,KHAMMAM,2001,Arhar/Tur,302.0,0.4755905511811024,1009.3
Andhra Pradesh,KHAMMAM,2002,Arhar/Tur,10195.0,0.4170075261780104,703.2
Andhra Pradesh,KHAMMAM,2002,Arhar/Tur,324.0,0.416988416988417,703.2
Andhra Pradesh,KHAMMAM,2003,Arhar/Tur,15405.0,0.5280024677817384,1096.8
Andhra Pradesh,KHAMMAM,2003,Arhar/Tur,409.0,0.5284237726098191,1096.8
Andhra Pradesh,KRISHNA,2001,Arhar/Tur,4922.0,0.6380606689136634,1009.3
Andhra Pradesh,KRISHNA,2001,Arhar/Tur,51.0,0.6375,1009.3
Andhra Pradesh,KRISHNA,2002,Arhar/Tur,3438.0,0.463030303030303,703.2
Andhra Pradesh,KRISHNA,2002,Arhar/Tur,58.0,0.4603174603174603,703.2
Andhra Pradesh,KRISHNA,2003,Arhar/Tur,6357.0,0.6599875415282392,1096.8
Andhra Pradesh,KURNOOL,2001,Arhar/Tur,10216.0,0.3820065063755001,1009.3
Andhra Pradesh,KURNOOL,2001,Arhar/Tur,366.0,0.3820459290187891,1009.3
Andhra Pradesh,KURNOOL,2002,Arhar/Tur,13187.0,0.4200082810459598,703.2
Andhra Pradesh,KURNOOL,2002,Arhar/Tur,261.0,0.4196141479099678,703.2
Andhra Pradesh,KURNOOL,2003,Arhar/Tur,13552.0,0.405991611743559,1096.8
Andhra Pradesh,KURNOOL,2003,Arhar/Tur,80.0,0.4060913705583756,1096.8
Andhra Pradesh,MAHBUBNAGAR,2001,Arhar/Tur,16297.0,0.2830028131837599,1009.3
Andhra Pradesh,MAHBUBNAGAR,2001,Arhar/Tur,2.0,0.2857142857142857,1009.3
Andhra Pradesh,MAHBUBNAGAR,2002,Arhar/Tur,24073.0,0.4149944835195145,703.2
Andhra Pradesh,MAHBUBNAGAR,2003,Arhar/Tur,24022.0,0.3990034050328045,1096.8
Andhra Pradesh,MAHBUBNAGAR,2003,Arhar/Tur,1.0,0.5,1096.8
Andhra Pradesh,MEDAK,2001,Arhar/Tur,9971.0,0.5139955667817929,1009.3
Andhra Pradesh,MEDAK,2002,Arhar/Tur,6122.0,0.3240182068381497,703.2
Andhra Pradesh,MEDAK,2002,Arhar/Tur,14.0,0.3181818181818182,703.2
Andhra Pradesh,MEDAK,2003,Arhar/Tur,12746.0,0.5189950730892952,1096.8
Andhra Pradesh,MEDAK,2003,Arhar/Tur,4.0,0.5714285714285714,1096.8
Andhra Pradesh,NALGONDA,2001,Arhar/Tur,6092.0,0.2620215053763441,1009.3
Andhra Pradesh,NALGONDA,2001,Arhar/Tur,102.0,0.2608695652173913,1009.3
Andhra Pradesh,NALGONDA,2002,Arhar/Tur,5281.0,0.2119861913937058,703.2
Andhra Pradesh,NALGONDA,2002,Arhar/Tur,151.0,0.211781206171108,703.2
Andhra Pradesh,NALGONDA,2003,Arhar/Tur,18844.0,0.509008400637476,1096.8
Andhra Pradesh,NALGONDA,2003,Arhar/Tur,440.0,0.5086705202312138,1096.8
